# schema=FRONTEND_CURRENT_GOVERNED_SCOPE_LEDGER_V1
# h4_base_sha=9cd899a3ad6196e04cdfda21430ed61529abf49a
# laws=HISTORICAL_CLOSURE_LEDGER_IS_IMMUTABLE_V1,CURRENT_GOVERNED_SCOPE_EVOLVES_APPEND_FORWARD_V1
path	state	origin	rationale
frontend/src/api/admin/analytics.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/audit.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/billing-admin.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/config.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/delivery.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/entitlement-admin.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/extension.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/feature-flags.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/identity.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/notification.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/policy-admin.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/quota-billing.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/render.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/admin/shared-resources-admin.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/ai-timeline.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/analytics.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/app/artifacts.client.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/app/index.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/app/products.client.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/cache-boundaries.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/commerce.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/core/api-client.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/core/endpoint-builder.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/delivery.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/dev/diagnostics.client.ts	ACTIVE	POST_H4_ADDITION	APPEND_FORWARD_CURRENT_GOVERNED_IDENTITY
frontend/src/api/dev/index.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/dev/safe-preflight-reports.client.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/graphqlClient.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/guard/contract-guard.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/import-metadata.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/index.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/me.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/navigation.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/prompt.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
frontend/src/api/publish.ts	ACTIVE	H4_BASELINE	CURRENT_GOVERNED_IDENTITY
